name,restaurant_type,rate,votes,avg_receipt,online_order,table_booking,cuisines_type,area
Kanika Biryani Paradise,Casual Dining,3.4,15.0,700.0,0,0,"North Indian, Andhra, Biryani",Bannerghatta Road
Kanis Kitchen,Quick Bites,3.6,14.0,250.0,0,0,South Indian,Brigade Road
Kannoor Restaurant,Casual Dining,3.1,18.0,500.0,1,0,"Kerala, Chinese, South Indian, North Indian","Byresandra,Tavarekere,Madiwala"
Kannur Food Point,Quick Bites,3.7,214.0,200.0,1,0,"Kerala, North Indian","Byresandra,Tavarekere,Madiwala"
Kannur Restaurant,Quick Bites,3.7,50.0,400.0,0,0,"South Indian, North Indian, Kerala",Kalyan Nagar
Kanteen 038,Quick Bites,3.9,51.0,200.0,1,0,"Tea, Beverages, Fast Food",Brigade Road
Kanteen The Eatery,Quick Bites,3.9,77.0,400.0,1,0,North Indian,Bannerghatta Road
Kanthari,Quick Bites,3.9,93.0,400.0,1,0,"North Indian, Kerala, Chinese",Kalyan Nagar
Kanti Sweets,"Dessert Parlor, Quick Bites",3.6,20.0,400.0,1,0,"Mithai, Street Food",Church Street
Kanti's,Quick Bites,3.8,46.0,300.0,0,0,"Mithai, Street Food",Marathahalli
Kanua,Casual Dining,4.4,889.0,1400.0,1,1,"Konkan, Mangalorean, Seafood",Bellandur
Kapoor's Biriyani,Quick Bites,3.3,334.0,400.0,1,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
Kapoor's Cafe,Casual Dining,4.0,169.0,800.0,1,0,North Indian,Jayanagar
Karahi Kitchen,Delivery,3.9,163.0,300.0,1,0,"Andhra, Biryani, Chinese","Byresandra,Tavarekere,Madiwala"
Karaikudi Restaurant,Quick Bites,3.7,214.0,300.0,1,0,South Indian,Electronic City
Karama Restaurant,Casual Dining,4.1,1555.0,750.0,1,0,"Arabian, North Indian, Beverages","Byresandra,Tavarekere,Madiwala"
Karavali Deluxe,Quick Bites,3.6,23.0,450.0,1,0,"North Indian, Chinese",Malleshwaram
Karavali Family Restaurant,Casual Dining,3.5,90.0,500.0,1,0,"Seafood, Biryani, South Indian, North Indian, Chinese",Banashankari
Karavali Fish Center,Quick Bites,3.4,10.0,300.0,0,0,"Mangalorean, Chinese",Banashankari
Karavali Fishland,Casual Dining,3.1,30.0,700.0,1,0,"South Indian, Mangalorean, Chinese",Electronic City
Karavali Kitchen,Casual Dining,3.1,85.0,400.0,1,0,Mangalorean,Bellandur
Karavali Kolimane,Quick Bites,3.7,28.0,350.0,1,0,"Mangalorean, Chinese, North Indian",Basavanagudi
Karavali Lunch Home,Quick Bites,3.3,4.0,200.0,0,0,Kerala,"Byresandra,Tavarekere,Madiwala"
Karavali Naati Mane,Quick Bites,3.1,40.0,350.0,1,0,South Indian,Bellandur
Karavalli - The Gateway Hotel,Fine Dining,4.5,674.0,3500.0,0,1,"Mangalorean, Konkan, Seafood, Kerala",Brigade Road
Karavalli Food Court,Casual Dining,3.2,4.0,400.0,0,0,South Indian,Whitefield
Kareem's,Quick Bites,3.6,32.0,700.0,1,0,"North Indian, Mughlai",Brigade Road
Kargeens,Cafe,3.9,363.0,900.0,1,0,"Cafe, Italian, Pizza, Continental",Malleshwaram
Karibu - The Zuri,Casual Dining,3.9,268.0,2000.0,0,1,"South Indian, Asian",Whitefield
Karigiri Refreshments,Quick Bites,3.7,10.0,300.0,0,0,Fast Food,Malleshwaram
Karma Foods,Quick Bites,3.2,7.0,250.0,0,0,"North Indian, Chinese",Marathahalli
Karma Kaapi,Beverage Shop,4.4,181.0,250.0,1,0,"Beverages, Tea",Banashankari
Karnataka Bhel House,Quick Bites,3.9,65.0,100.0,0,0,Street Food,Jayanagar
Karnataka Biriyani Paradise,Quick Bites,3.4,10.0,300.0,0,0,"North Indian, Biryani",Frazer Town
Karnataka Briyani point,Quick Bites,3.2,5.0,300.0,0,0,"North Indian, Chinese",Rajajinagar
Kartik,"Casual Dining, Bar",3.4,6.0,700.0,0,0,"Chinese, North Indian",Kalyan Nagar
Kartik's Mithai Shoppe,Quick Bites,3.8,72.0,150.0,0,0,"Mithai, Street Food",Whitefield
Kataria's Home Food,Quick Bites,3.1,40.0,250.0,1,0,"North Indian, Chinese",Koramangala 4th Block
Kataria's Pakwan,Quick Bites,3.2,96.0,400.0,1,0,North Indian,Banashankari
Katriguppe Donne Biryani,Quick Bites,3.2,4.0,300.0,0,0,North Indian,Banashankari
Kaulige Millet Corner,Quick Bites,3.3,4.0,150.0,0,0,"Healthy Food, South Indian",Basavanagudi
Kava - Fairfield by Marriott,Casual Dining,3.9,284.0,1500.0,0,1,"North Indian, South Indian, Continental",Bellandur
Kava Bar - Fairfield By Marriott,Bar,3.4,10.0,1800.0,0,0,"North Indian, South Indian, Continental",Rajajinagar
